querytime,id,occupancy,from,to,train_series,train_direction,train_type
2016-07-27 23:41:46+02:00,-1,high,8812005,8822004,4500,away,IC
2016-07-28 00:04:25+02:00,-1,low,8831765,8831765,1500,back,IC
2016-07-28 00:18:09+02:00,-1,low,8831765,8813003,1500,back,IC
2016-07-28 00:38:28+02:00,-1,high,8819406,8812005,3600,back,IC
2016-07-28 08:50:27+02:00,-1,medium,8892007,8813003,1500,away,IC
2016-07-28 09:15:50+02:00,-1,low,8812211,8813003,102000,back,S
2016-07-28 09:36:02+02:00,-1,medium,8892007,8814001,500,away,IC
2016-07-28 09:36:31+02:00,-1,medium,8892007,8814001,500,away,IC
2016-07-28 10:04:57+02:00,-1,low,8814001,8892007,6800,away,ICT
2016-07-28 10:12:11+02:00,-1,low,8814001,8892007,6800,away,ICT
2016-07-28 10:30:23+02:00,-1,medium,8892007,8814001,500,away,IC
2016-07-28 10:31:15+02:00,-1,medium,8892007,8814001,2800,away,IC
2016-07-28 10:31:57+02:00,-1,low,8892007,8814001,3600,away,IC
2016-07-28 10:33:05+02:00,-1,medium,8892007,8814001,2800,away,IC
2016-07-28 10:59:01+02:00,-1,high,8821006,8814001,3100,back,IC
2016-07-28 11:10:47+02:00,-1,high,8821006,8814001,9300,away,THA
2016-07-28 13:16:06+02:00,-1,high,8892007,8814001,7000,away,P
2016-07-28 13:17:09+02:00,-1,high,8892007,8814001,7000,away,P
2016-07-28 15:06:29+02:00,-1,low,8891140,8892007,500,away,L
2016-07-28 15:33:06+02:00,-1,high,8821006,8814001,9200,back,IC
2016-07-28 15:33:26+02:00,-1,high,8821006,8814001,9200,back,IC
2016-07-28 15:33:30+02:00,-1,high,8821006,8814001,9200,back,IC
2016-07-28 15:33:34+02:00,-1,high,8821006,8814001,9200,back,IC
2016-07-28 16:44:52+02:00,-1,medium,8813003,8892007,1500,back,IC
2016-07-28 17:53:40+02:00,-1,medium,8833001,8813003,1700,back,IC
2016-07-28 19:12:04+02:00,-1,low,8813003,8892007,500,back,IC
2016-07-28 20:17:09+02:00,-1,low,8894201,8892007,700,away,IC
2016-07-28 20:26:52+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 20:34:57+02:00,-1,medium,8813003,8833001,500,away,IC
2016-07-28 20:46:18+02:00,-1,low,8892007,8891140,500,back,L
2016-07-28 20:48:59+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 20:50:00+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 20:51:01+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 21:10:11+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 21:15:16+02:00,-1,low,8833001,8831765,1500,away,IC
2016-07-28 21:16:09+02:00,-1,low,8812005,8831765,1500,away,IC
2016-07-28 21:33:21+02:00,-1,low,8813003,8892007,400,back,IC
