querytime,from,to,occupancy,train_series,train_direction,train_type
2019-05-22 06:41:20+02:00,8833001,8811288,medium,93200,back,S
2019-05-22 06:41:10+02:00,8833233,8833001,low,2400,back,L
2019-05-22 08:40:15+02:00,8821121,8813003,medium,3300,back,IC
2019-05-22 12:37:12+02:00,8892080,8813003,low,400,away,IC
2019-05-22 12:59:23+02:00,8896909,8896925,high,800,away,IC
2019-05-22 16:23:54+02:00,8812005,8821600,medium,8200,away,P
2019-05-22 16:52:30+02:00,8891009,8892007,high,500,away,IC
2019-05-22 17:08:36+02:00,8821600,8821907,medium,4200,back,IC
2019-06-07 05:17:47+02:00,8895208,8895430,low,7900,away,P
2019-06-07 08:02:46+02:00,8814134,8814001,medium,11700,away,S
2019-06-07 12:43:48+02:00,8833308,8833050,high,3600,back,IC
2019-06-07 14:21:07+02:00,8893120,8821121,medium,3000,back,IC
2019-08-13 08:06:08+02:00,8833001,8813003,medium,3600,back,IC
2019-08-13 08:38:08+02:00,8812005,8813003,low,3600,back,IC
2019-08-13 08:38:04+02:00,8819406,8812005,low,3600,back,IC
2019-08-13 13:45:00+02:00,8814001,8814266,medium,11900,back,S
2019-08-13 14:34:44+02:00,8892734,8892601,medium,7900,away,P
2019-08-13 20:22:26+02:00,8833001,8812005,high,500,back,IC
2019-07-21 11:18:49+02:00,8821006,8813003,high,3300,back,IC
2019-07-21 19:41:56+02:00,8821006,8727100,low,9300,away,THA
2019-07-21 19:42:05+02:00,8821006,8727100,medium,9300,away,THA
2019-07-17 07:30:42+02:00,8833308,8812005,high,1700,back,IC
2019-07-17 10:39:48+02:00,8833308,8833001,high,1500,back,IC
2019-07-17 12:38:23+02:00,8821006,8400058,low,9200,away,IC
2019-07-17 16:49:21+02:00,8812005,8812021,high,32200,away,S
2019-07-17 18:12:06+02:00,8812005,8811916,medium,2100,away,IC
2019-07-17 18:12:11+02:00,8811916,8811304,medium,2100,away,IC
2019-07-17 18:12:16+02:00,8811304,8811601,medium,2100,away,IC
2019-07-17 20:13:43+02:00,8891009,8894508,medium,1800,away,IC
2019-07-05 05:51:08+02:00,8812062,8814001,low,103800,away,S
2019-07-05 07:35:20+02:00,8814001,8812005,medium,2800,away,IC
2019-07-05 08:14:52+02:00,8811601,8811304,medium,2100,back,IC
2019-07-05 08:14:58+02:00,8811916,8812005,low,2100,back,IC
2019-07-05 13:14:08+02:00,8841004,8814001,low,400,back,IC
2019-07-05 16:06:18+02:00,8812005,8892007,low,1500,back,IC
2019-07-05 16:10:30+02:00,8814001,8813003,low,3600,away,IC
2019-07-05 16:29:36+02:00,8822004,8822608,high,2700,away,L
